cz,czname,pop2000,stateabbrv,year,le_agg_q1_F,le_raceadj_q1_F,le_agg_q2_F,le_raceadj_q2_F,le_agg_q3_F,le_raceadj_q3_F,le_agg_q4_F,le_raceadj_q4_F,le_agg_q1_M,le_raceadj_q1_M,le_agg_q2_M,le_raceadj_q2_M,le_agg_q3_M,le_raceadj_q3_M,le_agg_q4_M,le_raceadj_q4_M,sd_le_agg_q1_F,sd_le_raceadj_q1_F,sd_le_agg_q2_F,sd_le_raceadj_q2_F,sd_le_agg_q3_F,sd_le_raceadj_q3_F,sd_le_agg_q4_F,sd_le_raceadj_q4_F,sd_le_agg_q1_M,sd_le_raceadj_q1_M,sd_le_agg_q2_M,sd_le_raceadj_q2_M,sd_le_agg_q3_M,sd_le_raceadj_q3_M,sd_le_agg_q4_M,sd_le_raceadj_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
302,Knoxville,727600,TN,2001,82.982277,83.366356,88.612457,88.776009,87.408791,87.703346,87.509888,87.717552,76.085144,76.58252,76.720016,77.192322,85.639076,85.928513,83.7939,84.144646,1.7496614,1.6833185,1.4424999,1.3752087,2.2760541,2.1664138,2.562958,2.4650652,1.4325744,1.4090267,1.7890555,1.7878442,1.914151,1.8366711,3.4756284,3.4105361,28071,28372,26967,23179,26404,28119,26036,21896
302,Knoxville,727600,TN,2002,81.143402,81.593407,83.170509,83.572144,85.220093,85.613884,87.213501,87.43512,76.839355,77.319992,79.935989,80.360619,82.634682,83.056007,88.368729,88.502289,2.0076699,1.9502863,2.2502923,2.166291,2.5440481,2.4356196,2.7439334,2.6385407,1.3620969,1.3301872,1.9635812,1.9226018,2.3329375,2.2625456,1.8587905,1.7854666,29345,29447,27679,22861,27378,28942,26493,21661
302,Knoxville,727600,TN,2003,81.693581,82.106239,84.542549,84.895683,86.972122,87.292442,88.980377,89.165634,76.284714,76.784004,82.356972,82.710892,80.941879,81.412766,87.332649,87.516769,1.6054243,1.5465806,2.0978122,2.0112312,2.4429827,2.3323193,3.1348925,3.0239537,1.3503581,1.3227888,1.7495922,1.6909944,2.2198977,2.1735134,2.1502395,2.0718756,30108,29932,28068,23397,27808,29120,27111,22188
302,Knoxville,727600,TN,2004,84.099358,84.422203,84.577118,84.887505,79.86969,80.451912,89.313362,89.432823,74.537811,75.073013,80.186172,80.589066,84.803787,85.108208,88.804016,88.922928,1.4465553,1.3902385,1.7365266,1.6615677,2.6441233,2.624424,2.1095955,2.0258522,1.356051,1.3489869,1.6417903,1.5949771,1.6121106,1.5445743,1.6690964,1.6026143,30264,30250,28388,24527,27793,29142,27725,23317
302,Knoxville,727600,TN,2005,83.373062,83.746376,85.717148,86.020317,91.393974,91.461639,89.361069,89.508858,75.410324,75.952019,76.330086,76.819023,85.086021,85.42942,88.620171,88.739761,1.6493485,1.5866224,1.9443899,1.8561862,.87914199,.83428609,2.5148933,2.4201283,1.3067704,1.2903079,1.6746438,1.6767702,1.961651,1.8815323,1.4742857,1.4128286,30222,30453,29031,25165,27933,29082,28289,23870
302,Knoxville,727600,TN,2006,84.198807,84.535004,84.141129,84.5159,89.051636,89.245102,87.5103,87.71183,73.246773,73.823273,78.035828,78.518845,84.837547,85.206841,85.16394,85.477676,1.3878846,1.3296312,2.0724425,1.9910573,1.5872415,1.5017146,2.5899527,2.4935627,1.169015,1.1660603,1.7778262,1.7598459,2.1418478,2.057158,2.7744033,2.687331,30469,30694,29692,25592,28003,29202,28751,24311
302,Knoxville,727600,TN,2007,84.801872,85.126114,86.368645,86.62326,87.011177,87.334145,91.709312,91.741753,73.779205,74.36026,79.749931,80.193733,87.598854,87.791801,86.380646,86.643784,1.3451244,1.28859,1.6153051,1.5399843,2.2267976,2.117691,1.2318245,1.1858758,1.2303976,1.2311705,1.6803052,1.6389964,1.1293038,1.0702927,2.5355659,2.4424086,31061,31653,30019,25773,28614,30053,28972,24488
302,Knoxville,727600,TN,2008,83.994759,84.348564,86.048508,86.292435,90.084694,90.249138,90.679947,90.759483,74.621841,75.19799,77.191803,77.689171,86.771927,87.066101,85.171425,85.45797,1.3836617,1.3258313,1.3332602,1.2724451,1.4967239,1.4149593,1.7515353,1.6840602,1.2315638,1.2207972,1.6625495,1.6486675,1.8352274,1.7488198,2.3140109,2.2352509,31301,31977,30590,26065,29018,30468,29405,24751
302,Knoxville,727600,TN,2009,78.747574,79.317001,87.100723,87.344139,87.845634,88.09903,91.136452,91.196716,72.388428,72.974754,77.727264,78.221062,82.273636,82.750015,86.923889,87.141014,1.5450345,1.5062119,1.5035279,1.4279499,1.5475975,1.462306,1.4957014,1.4341948,.97286409,.98985857,1.5313467,1.5090811,2.0143321,1.9485518,1.9184725,1.8401318,32785,32809,31582,26448,30708,31287,30275,24958
302,Knoxville,727600,TN,2010,81.114807,81.600281,87.336014,87.570251,86.639496,86.989296,88.017296,88.193314,74.866203,75.448143,81.27758,81.669975,84.279739,84.693398,90.011009,90.101265,1.4837681,1.4228693,1.477891,1.407105,2.1287916,2.0244174,2.355814,2.2648237,1.1354501,1.122288,1.4831264,1.4334747,2.0350649,1.9516232,1.2733437,1.212846,32284,32477,31325,26311,30107,30848,30027,24635
